Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
175,5690,species,Water Thick-knee,Burhinus vermiculatus,8,"Orpen Satara Road, Bushbuckridge ZA-MP -24.39342, 31.71540",ZA-MP,23 Jul 2024,L35063281,S188420040,,1
176,384,species,Knob-billed Duck,Sarkidiornis melanotos,2,"Orpen Satara Road, Bushbuckridge ZA-MP -24.39342, 31.71540",ZA-MP,23 Jul 2024,L35063281,S188420040,,1
177,32090,species,Yellow-fronted Canary,Crithagra mozambica,2,Kruger NP--H7/Orpen-Satara Road,ZA-MP,23 Jul 2024,L950653,S188419225,,1
178,29420,species,African Stonechat,Saxicola torquatus,1,Kruger NP--H7/Orpen-Satara Road,ZA-MP,23 Jul 2024,L950653,S188419225,,1
179,23264,species,Croaking Cisticola,Cisticola natalensis,1,Kruger NP--H7/Orpen-Satara Road,ZA-MP,23 Jul 2024,L950653,S188419225,,1
180,10429,species,Crested Barbet,Trachyphonus vaillantii,1,Kruger NP--H7/Orpen-Satara Road,ZA-MP,23 Jul 2024,L950653,S188419225,,1
181,8906,species,Pearl-spotted Owlet,Glaucidium perlatum,4,Kruger NP--H7/Orpen-Satara Road,ZA-MP,23 Jul 2024,L950653,S188419225,,1
182,7949,species,Wahlberg's Eagle,Hieraaetus wahlbergi,1,Kruger NP--H7/Orpen-Satara Road,ZA-MP,23 Jul 2024,L950653,S188419225,,1
183,1800,species,Swainson's Spurfowl,Pternistis swainsonii,20,Kruger NP--H7/Orpen-Satara Road,ZA-MP,23 Jul 2024,L950653,S188419225,,1
184,1788,species,Natal Spurfowl,Pternistis natalensis,2,Kruger NP--H7/Orpen-Satara Road,ZA-MP,23 Jul 2024,L950653,S188419225,,1
